"Delovno aktivno prebivalstvo, registrirane brezposelne osebe in stopnje"
"registrirane brezposelnosti po: STATISTIÈNA REGIJA, MESEC, SPOL ,"
"MERITVE"

" ";" ";" ";"2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"3 Registrirane brezposelne osebe";"4 Stopnja registrirane brezposelnosti"
"SLOVENIJA"
" ";"2005"
" ";" ";"Spol - SKUPAJ";805637;93353;10.4
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2006"
" ";" ";"Spol - SKUPAJ";812486;95204;10.5
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2007"
" ";" ";"Spol - SKUPAJ";838005;79969;8.7
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2008"
" ";" ";"Spol - SKUPAJ";867342;69238;7.4
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2009"
" ";" ";"Spol - SKUPAJ";872246;73911;7.8
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2010"
" ";" ";"Spol - SKUPAJ";836081;99591;10.6
" ";" ";"Moški";469320;52362;10.0
" ";" ";"Ženske";366761;47229;11.4
" ";"2011"
" ";" ";"Spol - SKUPAJ";820866;115132;12.3
" ";" ";"Moški";456466;61979;12.0
" ";" ";"Ženske";364400;53153;12.7
" ";"2012"
" ";" ";"Spol - SKUPAJ";811568;115965;12.5
" ";" ";"Moški";447996;61724;12.1
" ";" ";"Ženske";363572;54241;13.0
" ";"2013"
" ";" ";"Spol - SKUPAJ";788711;124258;13.6
" ";" ";"Moški";432084;67095;13.4
" ";" ";"Ženske";356627;57163;13.8
" ";"2014"
" ";" ";"Spol - SKUPAJ";781561;129843;14.2
" ";" ";"Moški";429549;68404;13.7
" ";" ";"Ženske";352012;61439;14.9
" ";"2015"
" ";" ";"Spol - SKUPAJ";794254;124279;13.5
" ";" ";"Moški";437980;63398;12.6
" ";" ";"Ženske";356274;60881;14.6
" ";"2016"
" ";" ";"Spol - SKUPAJ";797997;118165;12.9
" ";" ";"Moški";433823;60277;12.2
" ";" ";"Ženske";364174;57888;13.7
" ";"2017"
" ";" ";"Spol - SKUPAJ";824485;99615;10.8
" ";" ";"Moški";450071;49908;10.0
" ";" ";"Ženske";374414;49707;11.7
"Pomurska"
" ";"2005"
" ";" ";"Spol - SKUPAJ";45090;10216;18.5
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2006"
" ";" ";"Spol - SKUPAJ";45308;10052;18.2
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2007"
" ";" ";"Spol - SKUPAJ";46803;8510;15.4
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2008"
" ";" ";"Spol - SKUPAJ";47740;7834;14.1
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2009"
" ";" ";"Spol - SKUPAJ";47271;7980;14.4
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2010"
" ";" ";"Spol - SKUPAJ";42369;11355;21.1
" ";" ";"Moški";24309;5627;18.8
" ";" ";"Ženske";18060;5728;24.1
" ";"2011"
" ";" ";"Spol - SKUPAJ";43055;10993;20.3
" ";" ";"Moški";24392;5738;19.0
" ";" ";"Ženske";18663;5255;22.0
" ";"2012"
" ";" ";"Spol - SKUPAJ";41317;10130;19.7
" ";" ";"Moški";23000;5194;18.4
" ";" ";"Ženske";18317;4936;21.2
" ";"2013"
" ";" ";"Spol - SKUPAJ";40425;9729;19.4
" ";" ";"Moški";22314;5093;18.6
" ";" ";"Ženske";18111;4636;20.4
" ";"2014"
" ";" ";"Spol - SKUPAJ";39271;9891;20.1
" ";" ";"Moški";21900;5081;18.8
" ";" ";"Ženske";17371;4810;21.7
" ";"2015"
" ";" ";"Spol - SKUPAJ";38808;10595;21.4
" ";" ";"Moški";21913;5190;19.1
" ";" ";"Ženske";16895;5405;24.2
" ";"2016"
" ";" ";"Spol - SKUPAJ";38148;10121;21.0
" ";" ";"Moški";20696;5071;19.7
" ";" ";"Ženske";17452;5050;22.4
" ";"2017"
" ";" ";"Spol - SKUPAJ";39570;8263;17.3
" ";" ";"Moški";21649;4093;15.9
" ";" ";"Ženske";17921;4170;18.9
"Podravska"
" ";"2005"
" ";" ";"Spol - SKUPAJ";120447;19648;14.0
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2006"
" ";" ";"Spol - SKUPAJ";121382;19931;14.1
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2007"
" ";" ";"Spol - SKUPAJ";126773;16886;11.8
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2008"
" ";" ";"Spol - SKUPAJ";132083;14580;9.9
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2009"
" ";" ";"Spol - SKUPAJ";132413;15295;10.4
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2010"
" ";" ";"Spol - SKUPAJ";124757;19977;13.8
" ";" ";"Moški";70418;10449;12.9
" ";" ";"Ženske";54339;9528;14.9
" ";"2011"
" ";" ";"Spol - SKUPAJ";122663;21315;14.8
" ";" ";"Moški";68472;11076;13.9
" ";" ";"Ženske";54191;10239;15.9
" ";"2012"
" ";" ";"Spol - SKUPAJ";119697;21716;15.4
" ";" ";"Moški";65995;11352;14.7
" ";" ";"Ženske";53702;10364;16.2
" ";"2013"
" ";" ";"Spol - SKUPAJ";116589;21472;15.6
" ";" ";"Moški";63854;11249;15.0
" ";" ";"Ženske";52735;10223;16.2
" ";"2014"
" ";" ";"Spol - SKUPAJ";115941;22016;16.0
" ";" ";"Moški";63777;11464;15.2
" ";" ";"Ženske";52164;10552;16.8
" ";"2015"
" ";" ";"Spol - SKUPAJ";117630;21402;15.4
" ";" ";"Moški";65238;10947;14.4
" ";" ";"Ženske";52392;10455;16.6
" ";"2016"
" ";" ";"Spol - SKUPAJ";117405;19780;14.4
" ";" ";"Moški";64035;9858;13.3
" ";" ";"Ženske";53370;9922;15.7
" ";"2017"
" ";" ";"Spol - SKUPAJ";120480;16924;12.3
" ";" ";"Moški";66115;8142;11.0
" ";" ";"Ženske";54365;8782;13.9
"Koroška"
" ";"2005"
" ";" ";"Spol - SKUPAJ";29399;3678;11.1
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2006"
" ";" ";"Spol - SKUPAJ";29366;3790;11.4
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2007"
" ";" ";"Spol - SKUPAJ";29996;3155;9.5
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2008"
" ";" ";"Spol - SKUPAJ";30697;2570;7.7
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2009"
" ";" ";"Spol - SKUPAJ";30349;3167;9.4
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2010"
" ";" ";"Spol - SKUPAJ";28519;4222;12.9
" ";" ";"Moški";15996;2194;12.1
" ";" ";"Ženske";12523;2028;13.9
" ";"2011"
" ";" ";"Spol - SKUPAJ";27645;4823;14.9
" ";" ";"Moški";15822;2183;12.1
" ";" ";"Ženske";11823;2640;18.3
" ";"2012"
" ";" ";"Spol - SKUPAJ";28071;4329;13.4
" ";" ";"Moški";16065;1887;10.5
" ";" ";"Ženske";12006;2442;16.9
" ";"2013"
" ";" ";"Spol - SKUPAJ";27016;4648;14.7
" ";" ";"Moški";15375;2143;12.2
" ";" ";"Ženske";11641;2505;17.7
" ";"2014"
" ";" ";"Spol - SKUPAJ";26644;4593;14.7
" ";" ";"Moški";15198;2133;12.3
" ";" ";"Ženske";11446;2460;17.7
" ";"2015"
" ";" ";"Spol - SKUPAJ";26899;4037;13.0
" ";" ";"Moški";15334;1819;10.6
" ";" ";"Ženske";11565;2218;16.1
" ";"2016"
" ";" ";"Spol - SKUPAJ";26602;3681;12.2
" ";" ";"Moški";14834;1682;10.2
" ";" ";"Ženske";11768;1999;14.5
" ";"2017"
" ";" ";"Spol - SKUPAJ";27171;3041;10.1
" ";" ";"Moški";15119;1354;8.2
" ";" ";"Ženske";12052;1687;12.3
"Savinjska"
" ";"2005"
" ";" ";"Spol - SKUPAJ";103566;15073;12.7
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2006"
" ";" ";"Spol - SKUPAJ";104544;15351;12.8
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2007"
" ";" ";"Spol - SKUPAJ";108119;12820;10.6
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2008"
" ";" ";"Spol - SKUPAJ";112704;10970;8.9
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2009"
" ";" ";"Spol - SKUPAJ";112912;10982;8.9
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2010"
" ";" ";"Spol - SKUPAJ";107231;14012;11.6
" ";" ";"Moški";60991;7133;10.5
" ";" ";"Ženske";46240;6879;13.0
" ";"2011"
" ";" ";"Spol - SKUPAJ";104809;16354;13.5
" ";" ";"Moški";58914;8590;12.7
" ";" ";"Ženske";45895;7764;14.5
" ";"2012"
" ";" ";"Spol - SKUPAJ";104460;15875;13.2
" ";" ";"Moški";58537;8059;12.1
" ";" ";"Ženske";45923;7816;14.5
" ";"2013"
" ";" ";"Spol - SKUPAJ";101611;17141;14.4
" ";" ";"Moški";56747;8784;13.4
" ";" ";"Ženske";44864;8357;15.7
" ";"2014"
" ";" ";"Spol - SKUPAJ";100597;17730;15.0
" ";" ";"Moški";56433;8961;13.7
" ";" ";"Ženske";44164;8769;16.6
" ";"2015"
" ";" ";"Spol - SKUPAJ";99206;16979;14.6
" ";" ";"Moški";55910;8303;12.9
" ";" ";"Ženske";43296;8676;16.7
" ";"2016"
" ";" ";"Spol - SKUPAJ";99330;16343;14.1
" ";" ";"Moški";54939;8101;12.9
" ";" ";"Ženske";44391;8242;15.7
" ";"2017"
" ";" ";"Spol - SKUPAJ";102769;13852;11.9
" ";" ";"Moški";57208;6665;10.4
" ";" ";"Ženske";45561;7187;13.6
"Zasavska"
" ";"2005"
" ";" ";"Spol - SKUPAJ";17455;2871;14.1
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2006"
" ";" ";"Spol - SKUPAJ";17592;2653;13.1
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2007"
" ";" ";"Spol - SKUPAJ";18052;2240;11.0
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2008"
" ";" ";"Spol - SKUPAJ";18548;1869;9.2
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2009"
" ";" ";"Spol - SKUPAJ";18540;1895;9.3
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2010"
" ";" ";"Spol - SKUPAJ";17392;2379;12.0
" ";" ";"Moški";9540;1245;11.5
" ";" ";"Ženske";7852;1134;12.6
" ";"2011"
" ";" ";"Spol - SKUPAJ";16783;2641;13.6
" ";" ";"Moški";8986;1440;13.8
" ";" ";"Ženske";7797;1201;13.3
" ";"2012"
" ";" ";"Spol - SKUPAJ";16631;2833;14.6
" ";" ";"Moški";8904;1501;14.4
" ";" ";"Ženske";7727;1332;14.7
" ";"2013"
" ";" ";"Spol - SKUPAJ";15968;3160;16.5
" ";" ";"Moški";8475;1695;16.7
" ";" ";"Ženske";7493;1465;16.4
" ";"2014"
" ";" ";"Spol - SKUPAJ";15477;3548;18.6
" ";" ";"Moški";8198;1861;18.5
" ";" ";"Ženske";7279;1687;18.8
" ";"2015"
" ";" ";"Spol - SKUPAJ";22029;4156;15.9
" ";" ";"Moški";11858;2111;15.1
" ";" ";"Ženske";10171;2045;16.7
" ";"2016"
" ";" ";"Spol - SKUPAJ";21821;3977;15.4
" ";" ";"Moški";11603;2023;14.8
" ";" ";"Ženske";10218;1954;16.1
" ";"2017"
" ";" ";"Spol - SKUPAJ";22412;3316;12.9
" ";" ";"Moški";11910;1695;12.5
" ";" ";"Ženske";10502;1621;13.4
"Posavska"
" ";"2005"
" ";" ";"Spol - SKUPAJ";27108;3668;11.9
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2006"
" ";" ";"Spol - SKUPAJ";27274;3712;12.0
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2007"
" ";" ";"Spol - SKUPAJ";28249;3091;9.9
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2008"
" ";" ";"Spol - SKUPAJ";29369;2759;8.6
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2009"
" ";" ";"Spol - SKUPAJ";29986;2978;9.0
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2010"
" ";" ";"Spol - SKUPAJ";28547;3947;12.1
" ";" ";"Moški";16820;2004;10.6
" ";" ";"Ženske";11727;1943;14.2
" ";"2011"
" ";" ";"Spol - SKUPAJ";28093;4577;14.0
" ";" ";"Moški";16312;2511;13.3
" ";" ";"Ženske";11781;2066;14.9
" ";"2012"
" ";" ";"Spol - SKUPAJ";27748;4655;14.4
" ";" ";"Moški";16196;2486;13.3
" ";" ";"Ženske";11552;2169;15.8
" ";"2013"
" ";" ";"Spol - SKUPAJ";27118;5113;15.9
" ";" ";"Moški";15651;2836;15.3
" ";" ";"Ženske";11467;2277;16.6
" ";"2014"
" ";" ";"Spol - SKUPAJ";26507;5210;16.4
" ";" ";"Moški";15406;2772;15.2
" ";" ";"Ženske";11101;2438;18.0
" ";"2015"
" ";" ";"Spol - SKUPAJ";29364;5115;14.8
" ";" ";"Moški";17105;2623;13.3
" ";" ";"Ženske";12259;2492;16.9
" ";"2016"
" ";" ";"Spol - SKUPAJ";29077;5045;14.8
" ";" ";"Moški";16495;2609;13.7
" ";" ";"Ženske";12582;2436;16.2
" ";"2017"
" ";" ";"Spol - SKUPAJ";29949;4310;12.6
" ";" ";"Moški";17140;2106;10.9
" ";" ";"Ženske";12809;2204;14.7
"Jugovzhodna Slovenija"
" ";"2005"
" ";" ";"Spol - SKUPAJ";57925;5417;8.6
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2006"
" ";" ";"Spol - SKUPAJ";58012;5988;9.4
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2007"
" ";" ";"Spol - SKUPAJ";60015;5160;7.9
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2008"
" ";" ";"Spol - SKUPAJ";62025;4427;6.7
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2009"
" ";" ";"Spol - SKUPAJ";62153;5115;7.6
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2010"
" ";" ";"Spol - SKUPAJ";59813;6582;9.9
" ";" ";"Moški";34465;3445;9.1
" ";" ";"Ženske";25348;3137;11.0
" ";"2011"
" ";" ";"Spol - SKUPAJ";58910;7625;11.5
" ";" ";"Moški";33681;4099;10.8
" ";" ";"Ženske";25229;3526;12.3
" ";"2012"
" ";" ";"Spol - SKUPAJ";57987;8477;12.8
" ";" ";"Moški";33026;4469;11.9
" ";" ";"Ženske";24961;4008;13.8
" ";"2013"
" ";" ";"Spol - SKUPAJ";56457;9462;14.4
" ";" ";"Moški";31894;5071;13.7
" ";" ";"Ženske";24563;4391;15.2
" ";"2014"
" ";" ";"Spol - SKUPAJ";55775;9989;15.2
" ";" ";"Moški";31713;5168;14.0
" ";" ";"Ženske";24062;4821;16.7
" ";"2015"
" ";" ";"Spol - SKUPAJ";57360;9146;13.8
" ";" ";"Moški";32776;4509;12.1
" ";" ";"Ženske";24584;4637;15.9
" ";"2016"
" ";" ";"Spol - SKUPAJ";57028;8971;13.6
" ";" ";"Moški";32007;4412;12.1
" ";" ";"Ženske";25021;4559;15.4
" ";"2017"
" ";" ";"Spol - SKUPAJ";59107;7204;10.9
" ";" ";"Moški";33259;3500;9.5
" ";" ";"Ženske";25848;3704;12.5
"Osrednjeslovenska"
" ";"2005"
" ";" ";"Spol - SKUPAJ";210487;16876;7.4
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2006"
" ";" ";"Spol - SKUPAJ";212738;17757;7.7
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2007"
" ";" ";"Spol - SKUPAJ";218469;15331;6.6
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2008"
" ";" ";"Spol - SKUPAJ";226127;13302;5.6
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2009"
" ";" ";"Spol - SKUPAJ";229389;13618;5.6
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2010"
" ";" ";"Spol - SKUPAJ";225608;19354;7.9
" ";" ";"Moški";122953;10675;8.0
" ";" ";"Ženske";102655;8679;7.8
" ";"2011"
" ";" ";"Spol - SKUPAJ";221257;24511;10.0
" ";" ";"Moški";119294;13965;10.5
" ";" ";"Ženske";101963;10546;9.4
" ";"2012"
" ";" ";"Spol - SKUPAJ";219607;24529;10.0
" ";" ";"Moški";117244;13844;10.6
" ";" ";"Ženske";102363;10685;9.5
" ";"2013"
" ";" ";"Spol - SKUPAJ";214165;28007;11.6
" ";" ";"Moški";113500;15638;12.1
" ";" ";"Ženske";100665;12369;10.9
" ";"2014"
" ";" ";"Spol - SKUPAJ";213694;30144;12.4
" ";" ";"Moški";113311;16482;12.7
" ";" ";"Ženske";100383;13662;12.0
" ";"2015"
" ";" ";"Spol - SKUPAJ";211910;28228;11.8
" ";" ";"Moški";112348;15112;11.9
" ";" ";"Ženske";99562;13116;11.6
" ";"2016"
" ";" ";"Spol - SKUPAJ";215933;27346;11.2
" ";" ";"Moški";113786;14641;11.4
" ";" ";"Ženske";102147;12705;11.1
" ";"2017"
" ";" ";"Spol - SKUPAJ";224104;23923;9.6
" ";" ";"Moški";118827;12621;9.6
" ";" ";"Ženske";105277;11302;9.7
"Gorenjska"
" ";"2005"
" ";" ";"Spol - SKUPAJ";80787;6530;7.5
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2006"
" ";" ";"Spol - SKUPAJ";81470;6578;7.5
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2007"
" ";" ";"Spol - SKUPAJ";83453;4869;5.5
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2008"
" ";" ";"Spol - SKUPAJ";85873;4139;4.6
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2009"
" ";" ";"Spol - SKUPAJ";85768;5253;5.8
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2010"
" ";" ";"Spol - SKUPAJ";83462;7136;7.9
" ";" ";"Moški";46188;3767;7.5
" ";" ";"Ženske";37274;3369;8.3
" ";"2011"
" ";" ";"Spol - SKUPAJ";81848;8580;9.5
" ";" ";"Moški";45141;4645;9.3
" ";" ";"Ženske";36707;3935;9.7
" ";"2012"
" ";" ";"Spol - SKUPAJ";81680;8365;9.3
" ";" ";"Moški";44737;4515;9.2
" ";" ";"Ženske";36943;3850;9.4
" ";"2013"
" ";" ";"Spol - SKUPAJ";79787;9124;10.3
" ";" ";"Moški";43373;5029;10.4
" ";" ";"Ženske";36414;4095;10.1
" ";"2014"
" ";" ";"Spol - SKUPAJ";79529;9564;10.7
" ";" ";"Moški";43207;5132;10.6
" ";" ";"Ženske";36322;4432;10.9
" ";"2015"
" ";" ";"Spol - SKUPAJ";80837;8814;9.8
" ";" ";"Moški";43940;4643;9.6
" ";" ";"Ženske";36897;4171;10.2
" ";"2016"
" ";" ";"Spol - SKUPAJ";81908;8157;9.1
" ";" ";"Moški";44139;4293;8.9
" ";" ";"Ženske";37769;3864;9.3
" ";"2017"
" ";" ";"Spol - SKUPAJ";84531;6757;7.4
" ";" ";"Moški";45521;3588;7.3
" ";" ";"Ženske";39010;3169;7.5
"Primorsko-notranjska"
" ";"2005"
" ";" ";"Spol - SKUPAJ";21542;1941;8.3
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2006"
" ";" ";"Spol - SKUPAJ";21874;1836;7.7
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2007"
" ";" ";"Spol - SKUPAJ";22559;1539;6.4
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2008"
" ";" ";"Spol - SKUPAJ";23482;1331;5.4
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2009"
" ";" ";"Spol - SKUPAJ";23642;1500;6.0
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2010"
" ";" ";"Spol - SKUPAJ";22688;2007;8.1
" ";" ";"Moški";13152;1088;7.6
" ";" ";"Ženske";9536;919;8.8
" ";"2011"
" ";" ";"Spol - SKUPAJ";22277;2508;10.1
" ";" ";"Moški";12782;1412;9.9
" ";" ";"Ženske";9495;1096;10.3
" ";"2012"
" ";" ";"Spol - SKUPAJ";21968;2605;10.6
" ";" ";"Moški";12608;1411;10.1
" ";" ";"Ženske";9360;1194;11.3
" ";"2013"
" ";" ";"Spol - SKUPAJ";21153;2997;12.4
" ";" ";"Moški";12016;1667;12.2
" ";" ";"Ženske";9137;1330;12.7
" ";"2014"
" ";" ";"Spol - SKUPAJ";20903;3192;13.2
" ";" ";"Moški";11979;1663;12.2
" ";" ";"Ženske";8924;1529;14.6
" ";"2015"
" ";" ";"Spol - SKUPAJ";21254;2999;12.4
" ";" ";"Moški";12168;1511;11.0
" ";" ";"Ženske";9086;1488;14.1
" ";"2016"
" ";" ";"Spol - SKUPAJ";21311;2811;11.7
" ";" ";"Moški";12007;1419;10.6
" ";" ";"Ženske";9304;1392;13.0
" ";"2017"
" ";" ";"Spol - SKUPAJ";21809;2413;10.0
" ";" ";"Moški";12370;1181;8.7
" ";" ";"Ženske";9439;1232;11.5
"Goriška"
" ";"2005"
" ";" ";"Spol - SKUPAJ";48511;3401;6.6
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2006"
" ";" ";"Spol - SKUPAJ";48745;3664;7.0
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2007"
" ";" ";"Spol - SKUPAJ";50089;2906;5.5
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2008"
" ";" ";"Spol - SKUPAJ";51518;2465;4.6
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2009"
" ";" ";"Spol - SKUPAJ";51653;2921;5.4
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2010"
" ";" ";"Spol - SKUPAJ";48466;4381;8.3
" ";" ";"Moški";27396;2421;8.1
" ";" ";"Ženske";21070;1960;8.5
" ";"2011"
" ";" ";"Spol - SKUPAJ";47525;5293;10.0
" ";" ";"Moški";26702;2994;10.1
" ";" ";"Ženske";20823;2299;9.9
" ";"2012"
" ";" ";"Spol - SKUPAJ";46877;5374;10.3
" ";" ";"Moški";26067;3046;10.5
" ";" ";"Ženske";20810;2328;10.1
" ";"2013"
" ";" ";"Spol - SKUPAJ";44915;6085;11.9
" ";" ";"Moški";24745;3506;12.4
" ";" ";"Ženske";20170;2579;11.3
" ";"2014"
" ";" ";"Spol - SKUPAJ";44251;6273;12.4
" ";" ";"Moški";24552;3419;12.2
" ";" ";"Ženske";19699;2854;12.7
" ";"2015"
" ";" ";"Spol - SKUPAJ";45320;5666;11.1
" ";" ";"Moški";25159;2902;10.3
" ";" ";"Ženske";20161;2764;12.1
" ";"2016"
" ";" ";"Spol - SKUPAJ";45281;5196;10.3
" ";" ";"Moški";24910;2630;9.5
" ";" ";"Ženske";20371;2566;11.2
" ";"2017"
" ";" ";"Spol - SKUPAJ";46733;4031;7.9
" ";" ";"Moški";25675;2076;7.5
" ";" ";"Ženske";21058;1955;8.5
"Obalno-kraška"
" ";"2005"
" ";" ";"Spol - SKUPAJ";43320;3831;8.1
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2006"
" ";" ";"Spol - SKUPAJ";44181;3834;8.0
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2007"
" ";" ";"Spol - SKUPAJ";45428;3439;7.0
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2008"
" ";" ";"Spol - SKUPAJ";47176;2966;5.9
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2009"
" ";" ";"Spol - SKUPAJ";48170;3103;6.1
" ";" ";"Moški";-;-;-
" ";" ";"Ženske";-;-;-
" ";"2010"
" ";" ";"Spol - SKUPAJ";47229;3956;7.7
" ";" ";"Moški";27092;2134;7.3
" ";" ";"Ženske";20137;1822;8.3
" ";"2011"
" ";" ";"Spol - SKUPAJ";46001;4980;9.8
" ";" ";"Moški";25968;2770;9.6
" ";" ";"Ženske";20033;2210;9.9
" ";"2012"
" ";" ";"Spol - SKUPAJ";45525;5269;10.4
" ";" ";"Moški";25617;2862;10.0
" ";" ";"Ženske";19908;2407;10.8
" ";"2013"
" ";" ";"Spol - SKUPAJ";43507;5915;12.0
" ";" ";"Moški";24140;3385;12.3
" ";" ";"Ženske";19367;2530;11.6
" ";"2014"
" ";" ";"Spol - SKUPAJ";42972;6609;13.3
" ";" ";"Moški";23875;3640;13.2
" ";" ";"Ženske";19097;2969;13.5
" ";"2015"
" ";" ";"Spol - SKUPAJ";43637;6155;12.4
" ";" ";"Moški";24231;3245;11.8
" ";" ";"Ženske";19406;2910;13.0
" ";"2016"
" ";" ";"Spol - SKUPAJ";44153;6022;12.0
" ";" ";"Moški";24372;3123;11.4
" ";" ";"Ženske";19781;2899;12.8
" ";"2017"
" ";" ";"Spol - SKUPAJ";45850;5013;9.9
" ";" ";"Moški";25278;2577;9.3
" ";" ";"Ženske";20572;2436;10.6

"Vir: Statistièni urad Republike Slovenije."

"Povezane vsebine: "
"- (seznam "
"HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=8138 target=_blank) Metodološka pojasnila"

"Podatki so teritorialno razvršèeni po Klasifikaciji statistiènih "
"teritorialnih enot v Evropski uniji [The Classification  of "
"Territorial Units for Statistics] – NUTS [(seznam "
"HREF=http://www.stat.si/StatWeb/glavnanavigacija/metode-in-klasifikac-"
"ije/klasifikacije TARGET=_blank) opis in pojasnila], raven NUTS "
"3.Opombe o spremembah posameznih regij so zapisane k vsaki "
"spremenjeni regiji in so ob izpisu tabele na zaslon dostopne s klikom "
"na ikono za opombe [zvezdica]. V opombah je na zaèetku naveden datum, "
"s katerim je opisana teritorialna sprememba upoštevana pri "
"teritorialnem razvršèanju enot za statistiène namene."

