"TIME","GEO","UNIT","ACCIDENT","VICTIM","PERS_INV","Value","Flag and Footnotes"
"2007","European Union (current composition)","Number","Total","Killed","Total",":",""
"2007","Belgium","Number","Total","Killed","Total","38",""
"2007","Bulgaria","Number","Total","Killed","Total","27",""
"2007","Czechia","Number","Total","Killed","Total","25",""
"2007","Denmark","Number","Total","Killed","Total","8",""
"2007","Germany (until 1990 former territory of the FRG)","Number","Total","Killed","Total","180",""
"2007","Estonia","Number","Total","Killed","Total","14",""
"2007","Ireland","Number","Total","Killed","Total","2",""
"2007","Greece","Number","Total","Killed","Total","18",""
"2007","Spain","Number","Total","Killed","Total","65",""
"2007","France","Number","Total","Killed","Total","82",""
"2007","Croatia","Number","Total","Killed","Total",":",""
"2007","Italy","Number","Total","Killed","Total","68",""
"2007","Latvia","Number","Total","Killed","Total","28",""
"2007","Lithuania","Number","Total","Killed","Total","36",""
"2007","Luxembourg","Number","Total","Killed","Total",":",""
"2007","Hungary","Number","Total","Killed","Total","80",""
"2007","Netherlands","Number","Total","Killed","Total","20",""
"2007","Austria","Number","Total","Killed","Total","52",""
"2007","Poland","Number","Total","Killed","Total","357",""
"2007","Portugal","Number","Total","Killed","Total","58",""
"2007","Romania","Number","Total","Killed","Total","186",""
"2007","Slovenia","Number","Total","Killed","Total","17",""
"2007","Slovakia","Number","Total","Killed","Total","57",""
"2007","Finland","Number","Total","Killed","Total","18",""
"2007","Sweden","Number","Total","Killed","Total","23",""
"2007","United Kingdom","Number","Total","Killed","Total","58",""
"2007","Norway","Number","Total","Killed","Total","1",""
"2007","Switzerland","Number","Total","Killed","Total",":",""
"2008","European Union (current composition)","Number","Total","Killed","Total",":",""
"2008","Belgium","Number","Total","Killed","Total","21",""
"2008","Bulgaria","Number","Total","Killed","Total","44",""
"2008","Czechia","Number","Total","Killed","Total","44",""
"2008","Denmark","Number","Total","Killed","Total","11",""
"2008","Germany (until 1990 former territory of the FRG)","Number","Total","Killed","Total","164",""
"2008","Estonia","Number","Total","Killed","Total","8",""
"2008","Ireland","Number","Total","Killed","Total","3",""
"2008","Greece","Number","Total","Killed","Total","17",""
"2008","Spain","Number","Total","Killed","Total","46",""
"2008","France","Number","Total","Killed","Total","94",""
"2008","Croatia","Number","Total","Killed","Total",":",""
"2008","Italy","Number","Total","Killed","Total","64",""
"2008","Latvia","Number","Total","Killed","Total","29",""
"2008","Lithuania","Number","Total","Killed","Total","40",""
"2008","Luxembourg","Number","Total","Killed","Total",":",""
"2008","Hungary","Number","Total","Killed","Total","115",""
"2008","Netherlands","Number","Total","Killed","Total","20",""
"2008","Austria","Number","Total","Killed","Total","39",""
"2008","Poland","Number","Total","Killed","Total","308",""
"2008","Portugal","Number","Total","Killed","Total","42",""
"2008","Romania","Number","Total","Killed","Total","208",""
"2008","Slovenia","Number","Total","Killed","Total","13",""
"2008","Slovakia","Number","Total","Killed","Total","56",""
"2008","Finland","Number","Total","Killed","Total","21",""
"2008","Sweden","Number","Total","Killed","Total","13",""
"2008","United Kingdom","Number","Total","Killed","Total","58",""
"2008","Norway","Number","Total","Killed","Total","1",""
"2008","Switzerland","Number","Total","Killed","Total",":",""
"2009","European Union (current composition)","Number","Total","Killed","Total",":",""
"2009","Belgium","Number","Total","Killed","Total","16",""
"2009","Bulgaria","Number","Total","Killed","Total","28",""
"2009","Czechia","Number","Total","Killed","Total","26",""
"2009","Denmark","Number","Total","Killed","Total","14",""
"2009","Germany (until 1990 former territory of the FRG)","Number","Total","Killed","Total","170",""
"2009","Estonia","Number","Total","Killed","Total","10",""
"2009","Ireland","Number","Total","Killed","Total","1",""
"2009","Greece","Number","Total","Killed","Total","22",""
"2009","Spain","Number","Total","Killed","Total","31",""
"2009","France","Number","Total","Killed","Total","76",""
"2009","Croatia","Number","Total","Killed","Total",":",""
"2009","Italy","Number","Total","Killed","Total","80",""
"2009","Latvia","Number","Total","Killed","Total","17",""
"2009","Lithuania","Number","Total","Killed","Total","33",""
"2009","Luxembourg","Number","Total","Killed","Total","3",""
"2009","Hungary","Number","Total","Killed","Total","92",""
"2009","Netherlands","Number","Total","Killed","Total","14",""
"2009","Austria","Number","Total","Killed","Total","34",""
"2009","Poland","Number","Total","Killed","Total","365",""
"2009","Portugal","Number","Total","Killed","Total","32",""
"2009","Romania","Number","Total","Killed","Total","150",""
"2009","Slovenia","Number","Total","Killed","Total","11",""
"2009","Slovakia","Number","Total","Killed","Total","72",""
"2009","Finland","Number","Total","Killed","Total","14",""
"2009","Sweden","Number","Total","Killed","Total","19",""
"2009","United Kingdom","Number","Total","Killed","Total","53",""
"2009","Norway","Number","Total","Killed","Total","3",""
"2009","Switzerland","Number","Total","Killed","Total","22",""
"2010","European Union (current composition)","Number","Total","Killed","Total","1,270",""
"2010","Belgium","Number","Total","Killed","Total","34",""
"2010","Bulgaria","Number","Total","Killed","Total","16",""
"2010","Czechia","Number","Total","Killed","Total","48",""
"2010","Denmark","Number","Total","Killed","Total","9",""
"2010","Germany (until 1990 former territory of the FRG)","Number","Total","Killed","Total","146",""
"2010","Estonia","Number","Total","Killed","Total","12",""
"2010","Ireland","Number","Total","Killed","Total","3",""
"2010","Greece","Number","Total","Killed","Total","29",""
"2010","Spain","Number","Total","Killed","Total","37",""
"2010","France","Number","Total","Killed","Total","69",""
"2010","Croatia","Number","Total","Killed","Total","27",""
"2010","Italy","Number","Total","Killed","Total","69",""
"2010","Latvia","Number","Total","Killed","Total","22",""
"2010","Lithuania","Number","Total","Killed","Total","31",""
"2010","Luxembourg","Number","Total","Killed","Total","0",""
"2010","Hungary","Number","Total","Killed","Total","82",""
"2010","Netherlands","Number","Total","Killed","Total","10",""
"2010","Austria","Number","Total","Killed","Total","30",""
"2010","Poland","Number","Total","Killed","Total","283",""
"2010","Portugal","Number","Total","Killed","Total","22",""
"2010","Romania","Number","Total","Killed","Total","139",""
"2010","Slovenia","Number","Total","Killed","Total","14",""
"2010","Slovakia","Number","Total","Killed","Total","58",""
"2010","Finland","Number","Total","Killed","Total","13",""
"2010","Sweden","Number","Total","Killed","Total","42",""
"2010","United Kingdom","Number","Total","Killed","Total","25",""
"2010","Norway","Number","Total","Killed","Total","9",""
"2010","Switzerland","Number","Total","Killed","Total","11",""
"2011","European Union (current composition)","Number","Total","Killed","Total","1,206",""
"2011","Belgium","Number","Total","Killed","Total","27",""
"2011","Bulgaria","Number","Total","Killed","Total","37",""
"2011","Czechia","Number","Total","Killed","Total","29",""
"2011","Denmark","Number","Total","Killed","Total","4",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Total","Killed","Total","140",""
"2011","Estonia","Number","Total","Killed","Total","9",""
"2011","Ireland","Number","Total","Killed","Total","1",""
"2011","Greece","Number","Total","Killed","Total","13",""
"2011","Spain","Number","Total","Killed","Total","25",""
"2011","France","Number","Total","Killed","Total","88",""
"2011","Croatia","Number","Total","Killed","Total","26",""
"2011","Italy","Number","Total","Killed","Total","64",""
"2011","Latvia","Number","Total","Killed","Total","13",""
"2011","Lithuania","Number","Total","Killed","Total","26",""
"2011","Luxembourg","Number","Total","Killed","Total","0",""
"2011","Hungary","Number","Total","Killed","Total","84",""
"2011","Netherlands","Number","Total","Killed","Total","14",""
"2011","Austria","Number","Total","Killed","Total","35",""
"2011","Poland","Number","Total","Killed","Total","320",""
"2011","Portugal","Number","Total","Killed","Total","14",""
"2011","Romania","Number","Total","Killed","Total","100",""
"2011","Slovenia","Number","Total","Killed","Total","4",""
"2011","Slovakia","Number","Total","Killed","Total","49",""
"2011","Finland","Number","Total","Killed","Total","5",""
"2011","Sweden","Number","Total","Killed","Total","24",""
"2011","United Kingdom","Number","Total","Killed","Total","55",""
"2011","Norway","Number","Total","Killed","Total","6",""
"2011","Switzerland","Number","Total","Killed","Total","10",""
"2012","European Union (current composition)","Number","Total","Killed","Total","1,136",""
"2012","Belgium","Number","Total","Killed","Total","18",""
"2012","Bulgaria","Number","Total","Killed","Total","21",""
"2012","Czechia","Number","Total","Killed","Total","26",""
"2012","Denmark","Number","Total","Killed","Total","8",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Total","Killed","Total","138",""
"2012","Estonia","Number","Total","Killed","Total","7",""
"2012","Ireland","Number","Total","Killed","Total","0",""
"2012","Greece","Number","Total","Killed","Total","18",""
"2012","Spain","Number","Total","Killed","Total","27",""
"2012","France","Number","Total","Killed","Total","71",""
"2012","Croatia","Number","Total","Killed","Total","14",""
"2012","Italy","Number","Total","Killed","Total","68",""
"2012","Latvia","Number","Total","Killed","Total","18",""
"2012","Lithuania","Number","Total","Killed","Total","19",""
"2012","Luxembourg","Number","Total","Killed","Total","0",""
"2012","Hungary","Number","Total","Killed","Total","72",""
"2012","Netherlands","Number","Total","Killed","Total","16",""
"2012","Austria","Number","Total","Killed","Total","33",""
"2012","Poland","Number","Total","Killed","Total","271",""
"2012","Portugal","Number","Total","Killed","Total","24",""
"2012","Romania","Number","Total","Killed","Total","126",""
"2012","Slovenia","Number","Total","Killed","Total","5",""
"2012","Slovakia","Number","Total","Killed","Total","68",""
"2012","Finland","Number","Total","Killed","Total","9",""
"2012","Sweden","Number","Total","Killed","Total","15",""
"2012","United Kingdom","Number","Total","Killed","Total","42",""
"2012","Norway","Number","Total","Killed","Total","1",""
"2012","Switzerland","Number","Total","Killed","Total","19",""
"2013","European Union (current composition)","Number","Total","Killed","Total","1,129",""
"2013","Belgium","Number","Total","Killed","Total","15",""
"2013","Bulgaria","Number","Total","Killed","Total","12",""
"2013","Czechia","Number","Total","Killed","Total","24",""
"2013","Denmark","Number","Total","Killed","Total","8",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Total","Killed","Total","137",""
"2013","Estonia","Number","Total","Killed","Total","4",""
"2013","Ireland","Number","Total","Killed","Total","1",""
"2013","Greece","Number","Total","Killed","Total","9",""
"2013","Spain","Number","Total","Killed","Total","105",""
"2013","France","Number","Total","Killed","Total","85",""
"2013","Croatia","Number","Total","Killed","Total","18",""
"2013","Italy","Number","Total","Killed","Total","61",""
"2013","Latvia","Number","Total","Killed","Total","14",""
"2013","Lithuania","Number","Total","Killed","Total","17",""
"2013","Luxembourg","Number","Total","Killed","Total","3",""
"2013","Hungary","Number","Total","Killed","Total","102",""
"2013","Netherlands","Number","Total","Killed","Total","17",""
"2013","Austria","Number","Total","Killed","Total","26",""
"2013","Poland","Number","Total","Killed","Total","227",""
"2013","Portugal","Number","Total","Killed","Total","26",""
"2013","Romania","Number","Total","Killed","Total","101",""
"2013","Slovenia","Number","Total","Killed","Total","5",""
"2013","Slovakia","Number","Total","Killed","Total","55",""
"2013","Finland","Number","Total","Killed","Total","6",""
"2013","Sweden","Number","Total","Killed","Total","17",""
"2013","United Kingdom","Number","Total","Killed","Total","34",""
"2013","Norway","Number","Total","Killed","Total","4",""
"2013","Switzerland","Number","Total","Killed","Total","17",""
"2014","European Union (current composition)","Number","Total","Killed","Total","1,054",""
"2014","Belgium","Number","Total","Killed","Total","22",""
"2014","Bulgaria","Number","Total","Killed","Total","23",""
"2014","Czechia","Number","Total","Killed","Total","31",""
"2014","Denmark","Number","Total","Killed","Total","12",""
"2014","Germany (until 1990 former territory of the FRG)","Number","Total","Killed","Total","160",""
"2014","Estonia","Number","Total","Killed","Total","9",""
"2014","Ireland","Number","Total","Killed","Total","2",""
"2014","Greece","Number","Total","Killed","Total","9",""
"2014","Spain","Number","Total","Killed","Total","25",""
"2014","France","Number","Total","Killed","Total","65",""
"2014","Croatia","Number","Total","Killed","Total","19",""
"2014","Italy","Number","Total","Killed","Total","53",""
"2014","Latvia","Number","Total","Killed","Total","15",""
"2014","Lithuania","Number","Total","Killed","Total","11",""
"2014","Luxembourg","Number","Total","Killed","Total","0",""
"2014","Hungary","Number","Total","Killed","Total","108",""
"2014","Netherlands","Number","Total","Killed","Total","9",""
"2014","Austria","Number","Total","Killed","Total","25",""
"2014","Poland","Number","Total","Killed","Total","206",""
"2014","Portugal","Number","Total","Killed","Total","19",""
"2014","Romania","Number","Total","Killed","Total","96",""
"2014","Slovenia","Number","Total","Killed","Total","3",""
"2014","Slovakia","Number","Total","Killed","Total","76",""
"2014","Finland","Number","Total","Killed","Total","6",""
"2014","Sweden","Number","Total","Killed","Total","25",""
"2014","United Kingdom","Number","Total","Killed","Total","25",""
"2014","Norway","Number","Total","Killed","Total","1",""
"2014","Switzerland","Number","Total","Killed","Total","18",""
"2015","European Union (current composition)","Number","Total","Killed","Total","971","p"
"2015","Belgium","Number","Total","Killed","Total","13",""
"2015","Bulgaria","Number","Total","Killed","Total","20",""
"2015","Czechia","Number","Total","Killed","Total","29",""
"2015","Denmark","Number","Total","Killed","Total","7",""
"2015","Germany (until 1990 former territory of the FRG)","Number","Total","Killed","Total","130",""
"2015","Estonia","Number","Total","Killed","Total","2",""
"2015","Ireland","Number","Total","Killed","Total","0",""
"2015","Greece","Number","Total","Killed","Total","14",""
"2015","Spain","Number","Total","Killed","Total","20",""
"2015","France","Number","Total","Killed","Total","54","p"
"2015","Croatia","Number","Total","Killed","Total","15",""
"2015","Italy","Number","Total","Killed","Total","46",""
"2015","Latvia","Number","Total","Killed","Total","9",""
"2015","Lithuania","Number","Total","Killed","Total","8",""
"2015","Luxembourg","Number","Total","Killed","Total","0",""
"2015","Hungary","Number","Total","Killed","Total","109",""
"2015","Netherlands","Number","Total","Killed","Total","18",""
"2015","Austria","Number","Total","Killed","Total","35",""
"2015","Poland","Number","Total","Killed","Total","227",""
"2015","Portugal","Number","Total","Killed","Total","18",""
"2015","Romania","Number","Total","Killed","Total","81",""
"2015","Slovenia","Number","Total","Killed","Total","1",""
"2015","Slovakia","Number","Total","Killed","Total","51",""
"2015","Finland","Number","Total","Killed","Total","7",""
"2015","Sweden","Number","Total","Killed","Total","16",""
"2015","United Kingdom","Number","Total","Killed","Total","23",""
"2015","Norway","Number","Total","Killed","Total","2",""
"2015","Switzerland","Number","Total","Killed","Total","10",""
"2016","European Union (current composition)","Number","Total","Killed","Total","964",""
"2016","Belgium","Number","Total","Killed","Total","14",""
"2016","Bulgaria","Number","Total","Killed","Total","22",""
"2016","Czechia","Number","Total","Killed","Total","34",""
"2016","Denmark","Number","Total","Killed","Total","1",""
"2016","Germany (until 1990 former territory of the FRG)","Number","Total","Killed","Total","150",""
"2016","Estonia","Number","Total","Killed","Total","0",""
"2016","Ireland","Number","Total","Killed","Total","0",""
"2016","Greece","Number","Total","Killed","Total","10",""
"2016","Spain","Number","Total","Killed","Total","28",""
"2016","France","Number","Total","Killed","Total","81",""
"2016","Croatia","Number","Total","Killed","Total","11",""
"2016","Italy","Number","Total","Killed","Total","85",""
"2016","Latvia","Number","Total","Killed","Total","15",""
"2016","Lithuania","Number","Total","Killed","Total","16",""
"2016","Luxembourg","Number","Total","Killed","Total","0",""
"2016","Hungary","Number","Total","Killed","Total","97",""
"2016","Netherlands","Number","Total","Killed","Total","8",""
"2016","Austria","Number","Total","Killed","Total","31",""
"2016","Poland","Number","Total","Killed","Total","167",""
"2016","Portugal","Number","Total","Killed","Total","25",""
"2016","Romania","Number","Total","Killed","Total","87",""
"2016","Slovenia","Number","Total","Killed","Total","5",""
"2016","Slovakia","Number","Total","Killed","Total","26",""
"2016","Finland","Number","Total","Killed","Total","10",""
"2016","Sweden","Number","Total","Killed","Total","13",""
"2016","United Kingdom","Number","Total","Killed","Total","28",""
"2016","Norway","Number","Total","Killed","Total","3",""
"2016","Switzerland","Number","Total","Killed","Total","18",""
